Rohr;D;t;A;G;I;W;i;Sy;Typ;Knick;S 460 Knick
-;mm;mm;cm²;kg/m;cm4;cm3;cm;cm³;-;linie;linie
102x10;101.6;10;28.77698871;22.58993613;305.4159365;60.12124735;3.257790662;42.11946667;1;a;a0
114x3,2;114.3;3.2;11.1689902;8.767657309;172.4694525;30.17838189;3.929607169;19.75459733;1;a;a0
114x3,6;114.3;3.6;12.51987504;9.828101909;191.9836764;33.59294425;3.915905068;22.065858;1;a;a0
114x11;114.3;11;35.69791732;28.0228651;481.5599962;84.26246653;3.672854816;58.91172833;1;a;a0
140x3,2;139.7;3.2;13.72247671;10.77214422;319.7764186;45.78044647;4.827329748;29.81706133;1;a;a0
140x3,6;139.7;3.6;15.39254737;12.08314968;356.6485934;51.05921165;4.813544692;33.349554;1;a;a0
140x11;139.7;11;44.4755272;34.91328885;927.5754798;132.7953443;4.566821926;91.32212833;1;a;a0
168x3,6;168.3;3.6;18.62713116;14.62229796;631.9033049;75.09249019;5.824415207;48.834738;1;a;a0
168x4;168.3;4;20.64654692;16.20753933;697.0916864;82.83917842;5.810603454;53.99964667;1;a;a0
168x11;168.3;11;54.35897769;42.67179748;1689.496732;200.7720418;5.574976457;136.3099283;1;a;a0
219x5;219.1;5;33.63074936;26.40013824;1928.042873;175.996611;7.571641995;114.6178583;1;a;a0
219x7,1;219.1;7.1;47.28725262;37.12049331;2659.57754;242.7729384;7.499534152;159.6108518;1;a;a0
219x8,8;219.1;8.8;58.13957028;45.63956267;3219.735245;293.905545;7.441734509;194.7083747;1;a;a0
219x10;219.1;10;65.69070239;51.56720137;3598.438962;328.4745743;7.401250739;218.7807167;1;a;a0
245x6,3;244.5;6.3;47.14462432;37.00853009;3346.026655;273.7036118;8.424586785;178.7702805;1;a;a0
245x8;244.5;8;59.43893301;46.65956241;4160.44669;340.3228377;8.366320129;223.8143333;1;a;a0
245x10;244.5;10;73.67034773;57.83122297;5073.147342;414.9813777;8.298362037;275.1179167;1;a;a0
245x11;244.5;11;80.69180731;63.34306874;5511.57825;450.8448466;8.264627185;300.0942083;1;a;a0
273x6,3;273;6.3;52.78535392;41.43650283;4695.823355;344.016363;9.431899332;224.097678;1;a;a0
273x7,1;273;7.1;59.30981355;46.55820364;5245.450358;384.2820775;9.404335436;251.0546273;1;a;a0
273x8,8;273;8.8;73.04077256;57.33700646;6380.027486;467.401281;9.346060667;307.2407947;1;a;a0
273x10;273;10;82.62388679;64.85975113;7154.092518;524.1093419;9.305173292;346.0116667;1;a;a0
273x11;273;11;90.54070028;71.07444972;7782.539068;570.1493823;9.271259354;377.7638333;1;a;a0
324x7,1;323.9;7.1;70.66321524;55.47062396;8869.350875;547.6598255;11.20338398;356.3456038;1;a;a0
324x8,8;323.9;8.8;87.11259437;68.38338658;10819.97768;668.1060621;11.14481101;436.9808227;1;a;a0
324x10;323.9;10;98.6145934;77.41245582;12158.34237;750.7466733;11.10367113;492.8327167;1;a;a0
324x11;323.9;11;108.1304775;84.88242487;13249.68832;818.1345057;11.06951952;538.7070883;1;a;a0
324x12,5;323.9;12.5;122.286494;95.99489782;14846.52963;916.735389;11.01851907;606.3877708;1;a;a0
356x8;355.6;8;87.36140851;68.57870568;13201.37464;742.4845127;12.29277023;483.3883733;1;a;a0
356x10;355.6;10;108.5734421;85.23015205;16223.49973;912.4578025;12.22391918;597.3634667;1;a;a0
356x12,2;355.6;12.2;131.6163959;103.3188708;19425.32968;1092.538227;12.14868306;719.6363573;1;a;a0
406x8,8;406.4;8.8;109.920557;86.28763727;21731.73381;1069.475089;14.06072544;695.6909227;1;a;a0
406x12,5;406.4;12.5;154.6841683;121.4270721;30030.66673;1477.887142;13.93347857;970.0580833;1;a;a0
406x17,5;406.4;17.5;213.808942;167.8400195;40503.28713;1993.272005;13.76360509;1324.271317;1;a;a0
457x10;457;10;140.4291916;110.2369154;35091.32408;1535.725343;15.8077908;999.2116667;1;a;a0
457x14,2;457;14.2;197.5358062;155.0656079;48463.80014;2120.954054;15.66339203;1392.587279;1;a;a0
457x17,5;457;17.5;241.627745;189.6777798;58433.59265;2557.268825;15.5509847;1691.045417;1;a;a0
508x14,2;508;14.2;220.2872202;172.9254679;67198.63856;2645.615691;17.4656835;1731.730139;1;a;a0
508x20;508;20;306.619443;240.6962627;91427.78551;3599.519115;17.26788927;2382.773333;1;a;a0
508x25;508;25;379.3473129;297.7876406;110918.3092;4366.862567;17.0994883;2918.716667;1;a;a0
559x12,5;559;12.5;214.6100481;168.4688878;80161.81584;2868.043501;19.32674636;1866.964583;1;a;a0
559x16;559;16;272.9415697;214.2591322;100683.0274;3602.255006;19.20628152;2359.474667;1;a;a0
559x20;559;20;338.6636881;265.8509951;123155.4735;4406.278121;19.0696421;2906.543333;1;a;a0
559x25;559;25;419.4026193;329.2310561;149821.6249;5360.344362;18.90042989;3567.054167;1;a;a0
559x30;559;30;498.5707541;391.378042;174961.5651;6259.805549;18.73302565;4202.115;1;a;a0
610x12,5;610;12.5;234.6377013;184.1905955;104754.735;3434.581475;21.1294374;2231.614583;1;a;a0
610x16;610;16;298.5769658;234.3829182;131781.4225;4320.702377;21.00868868;2823.370667;1;a;a0
610x20;610;20;370.7079331;291.0057275;161489.6434;5294.742405;20.87163146;3482.333333;1;a;a0
660x14,2;660;14.2;288.0953561;226.1548545;150263.0761;4553.426547;22.83799685;2961.586459;1;a;a0
660x20;660;20;402.1238597;315.6672298;206088.4781;6245.105396;22.63846285;4097.333333;1;a;a0
660x25;660;25;498.7278338;391.5013495;251764.0446;7629.213472;22.46803285;5042.916667;1;a;a0
711x20;711;20;434.1681047;340.8219622;259350.8601;7295.382843;24.44077024;4776.143333;1;a;a0
813x20;813;20;498.2565949;391.131427;391909.3301;9641.06593;28.04569931;6289.823333;1;a;a0
813x25;813;25;618.8937528;485.8315959;480856.4638;11829.1873;27.87402465;7764.404167;1;a;a0
914x20;914;20;561.7167665;440.9476617;561461.1853;12285.80274;31.6155816;7993.693333;1;a;a0
914x25;914;25;698.2189673;548.1018893;690316.8741;15105.40206;31.44332203;9881.616667;1;a;a0
1016x20;1016;20;625.8052566;491.2571264;776323.9369;15281.96726;35.22101645;9921.493333;1;a;a0
1016x25;1016;25;778.3295799;610.9887202;956086.4352;18820.59912;35.04828812;12278.61667;1;a;a0
1220x20;1220;20;753.9822369;591.8760559;1357545.017;22254.83635;42.43229902;14401.33333;1;a;a0
1220x25;1220;25;938.5508053;736.7623821;1676075.76;27476.6518;42.25887481;17852.91667;1;a;a0
1220x28;1220;28;1048.537964;823.1023018;1863314.874;30546.14548;42.15518948;19895.75467;1;a;a0
1220x30;1220;30;1121.548577;880.4156332;1986542.918;32566.27734;42.08622102;21246;1;a;a0
1420x30;1420;30;1310.044137;1028.384647;3165394.145;44583.01613;49.15536593;28986;1;a;a0
1420x35;1420;35;1522.887039;1195.466325;3653881.908;51463.12547;48.98277759;33576.08333;1;a;a0
1620x35;1620;35;1742.798525;1368.096842;5475546.19;67599.33567;56.0518733;43971.08333;1;a;a0
1620x40;1620;40;1985.486557;1558.606947;6199681.774;76539.28117;55.87933428;49938.66667;1;a;a0
1820x40;1820;40;2236.813969;1755.898966;8863375.354;97399.72916;62.94839156;63378.66667;1;a;a0
1820x45;1820;45;2509.347132;1969.837499;9888866.545;108668.8631;62.77589107;70904.25;1;a;a0
2020x45;2020;45;2792.090471;2191.79102;13620689.85;134858.3153;69.8449175;87779.25;1;a;a0
2020x50;2020;50;3094.468764;2429.15798;15021325;148725.9901;69.67244793;97043.33333;1;a;a0
2220x45;2220;45;3074.83381;2413.744541;18190140.29;163875.1377;76.91431921;106454.25;1;a;a0
2220x55;2220;55;3740.851452;2936.56839;21931910.65;197584.7807;76.56900483;128926.4167;1;a;a0
2420x50;2420;50;3722.787295;2922.388026;26149788.65;216113.9558;83.81079883;140443.3333;1;a;a0
2420x55;2420;55;4086.426644;3207.844916;28585831.38;236246.5404;83.63798479;153841.4167;1;a;a0
2420x60;2420;60;4448.495197;3492.06873;30990441.79;256119.3537;83.46556176;167124;1;a;a0
2420x65;2420;65;4808.992954;3775.059469;33363891.43;275734.6399;83.29353216;180291.5833;1;a;a0
2420x70;2420;70;5167.919915;4056.817133;35706450.67;295094.6337;83.12189844;193344.6667;1;a;a0
2420x75;2420;75;5525.27608;4337.341722;38018388.71;314201.5596;82.95066305;206283.75;1;a;a0
610x16;610;16;298.5769658;234.3829182;131781.4225;4320.702377;21.00868868;2823.370667;1;a;a0
762x16;762;16;374.9804991;294.3596918;260973.3031;6849.692994;26.38114857;4452.810667;1;a;a0
914x16;914;16;451.3840325;354.3364655;455141.8045;9959.339268;31.75413359;6451.914667;1;a;a0
